,Station Name,Latitude,Longitude,Available Bikes
0,Chilco & Barclay,49.291909,-123.140713,12
1,St George & Broadway,49.262321,-123.09306,2
2,Britannia Parking Lot,49.275882,-123.071865,2
3,Morton & Denman,49.28803,-123.142135,9
4,Thornton & National,49.273777,-123.092723,2
5,Burrard & 14th,49.259469,-123.145718,9
6,Olympic Village Station,49.266314,-123.116011,16
7,8th & Macdonald,49.264928,-123.168068,19
8,30th & Ontario,49.243375,-123.104978,16
9,Lakewood & Triumph,49.283968,-123.061615,7
10,13th & Cambie,49.259579,-123.114769,6
11,Arbutus & Nanton,49.247854,-123.153422,9
12,14th & Fraser,49.257939,-123.089531,4
13,15th & Victoria (Trout Lake),49.256857,-123.065646,6
14,Robson & Hornby,49.282758,-123.122092,3
15,Cardero & Robson,49.289255,-123.132677,1
16,1st & Scotia,49.2685027,-123.0975014,17
17,10th & Fraser,49.26151,-123.089413,2
18,Ontario & 5th,49.266724,-123.104824,4
19,Heather & 16th,49.256845,-123.120071,1
20,Richards & Smithe,49.279259,-123.119145,1
21,Robson & Beatty,49.277773,-123.114237,10
22,Maple Tree Square,49.283482,-123.103738,16
23,22nd & Main,49.25094,-123.101306,7
24,Carrall & Seawall,49.276294,-123.106534,5
25,Charles & Woodland,49.2731,-123.0732,8
26,1st & Manitoba,49.27023,-123.10651,17
27,St Catherines & 7th,49.264466,-123.085183,9
28,Triumph & Victoria,49.283986,-123.065264,8
29,18th & Main,49.254667,-123.101389,5
30,St Catherines & 10th,49.261353,-123.085333,0
31,Nelson & Richards,49.277844,-123.120942,2
32,Arbutus & 10th,49.262835,-123.152626,5
33,Comox & Denman,49.288444,-123.139203,6
34,Prince Edward & 14th,49.258352,-123.096337,3
35,Alexander & Railway,49.283992,-123.091206,5
36,Chilco & Beach,49.28972,-123.144028,7
37,Richards & Cordova,49.284554,-123.111031,0
38,Orchard Commons,49.259999,-123.250902,5
39,Strangway Building,49.2661,-123.24568,5
40,Yew & Broadway,49.263523,-123.155267,5
41,Woodland & 10th,49.261263,-123.073707,8
42,Ontario & 16th,49.256825,-123.105234,9
43,14th & Alder,49.258819,-123.131317,6
44,Chestnut & McNicoll,49.275938,-123.145939,10
45,Dunbar & 6th,49.266636,-123.183661,9
46,Stanley Park - Vancouver Aquarium,49.299292,-123.130281,8
47,Yaletown-Roundhouse Station,49.274566,-123.121817,12
48,Smithe & Burrard,49.282503,-123.124697,5
49,Abbott & Cordova,49.282759,-123.106955,9
50,Sasamat & 10th,49.264019,-123.209176,10
51,Vine & 4th,49.268339,-123.157443,2
52,10th & Ontario,49.262062,-123.104656,0
53,Pine & 10th,49.262822,-123.14338,9
54,Wallace & 4th,49.268974,-123.190701,11
55,Pacific & Richards,49.273663,-123.127075,7
56,7th &  Alder,49.265198,-123.131043,4
57,Canada Place,49.287214,-123.11287,6
58,Jervis & Robson,49.286646,-123.129232,6
59,Heather & 18th,49.255034,-123.120226,8
60,14th & Oak,49.258761,-123.127071,6
61,Bute & Comox,49.283343,-123.131099,5
62,Comox & Broughton,49.285253,-123.134356,2
63,Station & Terminal,49.272172,-123.097978,10
64,Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,14
65,Woodland & 4th,49.266751,-123.073501,4
66,8th & Ash,49.264215,-123.117772,8
67,Burrard & Drake,49.27808,-123.130557,3
68,10th & Kingsway,49.261973,-123.09725,1
69,10th & Oak,49.262255,-123.126217,6
70,Hawks & Union,49.277333,-123.087359,3
71,Marinaside & Cooperage,49.273833,-123.114373,5
72,Alberni & Jervis,49.28763,-123.127245,1
73,7th & Arbutus,49.265605,-123.152566,1
