,bike_station_index,distance,restaurants,parks
0,0,308,1,0
1,0,354,1,0
2,0,299,1,0
3,0,400,1,0
4,0,385,1,0
5,0,413,1,0
6,0,356,1,0
7,0,393,1,0
8,0,677,1,0
9,0,307,1,0
10,0,298,1,0
11,0,346,1,0
12,0,325,1,0
13,0,470,0,1
14,0,371,1,0
15,0,370,1,0
16,0,299,1,0
17,0,350,1,0
18,0,429,1,0
19,0,490,1,0
20,0,389,1,0
21,0,322,1,0
22,0,357,1,0
23,0,403,1,0
24,0,452,1,0
25,0,458,1,0
26,0,489,1,0
27,0,325,1,0
28,0,160,1,0
29,0,483,1,0
30,0,298,1,0
31,0,300,1,0
32,0,309,1,0
33,0,320,0,1
34,0,320,1,0
35,0,330,1,0
36,0,357,1,0
37,0,357,1,0
38,0,398,1,0
39,0,404,1,0
40,0,405,1,0
41,0,415,1,0
42,0,418,1,0
43,0,310,1,0
44,0,432,1,0
45,0,441,1,0
46,0,13725,1,0
47,0,464,1,0
48,0,470,1,0
49,0,480,1,0
0,1,312,1,0
1,1,304,1,0
2,1,378,1,0
3,1,244,1,0
4,1,56,1,0
5,1,271,1,0
6,1,341,1,0
7,1,418,1,0
8,1,339,1,0
9,1,472,0,1
10,1,321,1,0
11,1,383,1,0
12,1,419,1,0
13,1,204,1,0
14,1,114,1,0
15,1,136,1,0
16,1,136,1,0
17,1,424,1,0
18,1,133,1,0
19,1,193,1,0
20,1,233,1,0
21,1,233,1,0
22,1,248,1,0
23,1,250,1,0
24,1,252,1,0
25,1,257,1,0
26,1,258,1,0
27,1,262,1,0
28,1,286,1,0
29,1,288,1,0
30,1,316,0,1
31,1,331,1,0
32,1,333,1,0
33,1,344,1,0
34,1,350,1,0
35,1,354,1,0
36,1,356,0,1
37,1,360,1,0
38,1,368,1,0
39,1,397,1,0
40,1,482,1,0
41,1,489,1,0
42,1,491,1,0
43,1,506,1,0
44,1,169,1,0
45,1,268,1,0
46,1,300,0,1
47,1,432,1,0
48,1,478,1,0
0,2,164,1,0
1,2,160,1,0
2,2,268,1,0
3,2,291,0,1
4,2,392,1,0
5,2,214,1,0
6,2,299,1,0
7,2,218,1,0
8,2,158,1,0
9,2,254,1,0
10,2,384,1,0
11,2,325,1,0
12,2,492,1,0
13,2,470,1,0
14,2,385,1,0
15,2,443,1,0
16,2,187,1,0
17,2,226,1,0
18,2,454,1,0
19,2,211,1,0
20,2,416,1,0
21,2,475,1,0
22,2,160,1,0
23,2,425,1,0
24,2,421,1,0
25,2,153,1,0
26,2,511,1,0
27,2,79,1,0
28,2,189,1,0
29,2,149,1,0
30,2,153,1,0
31,2,159,1,0
32,2,164,1,0
33,2,164,1,0
34,2,188,1,0
35,2,195,1,0
36,2,199,1,0
37,2,220,1,0
38,2,226,1,0
39,2,234,1,0
40,2,236,1,0
41,2,240,1,0
42,2,246,1,0
43,2,250,1,0
44,2,255,1,0
45,2,294,0,1
46,2,330,1,0
47,2,332,0,1
48,2,341,1,0
49,2,346,1,0
0,3,149,1,0
1,3,147,1,0
2,3,124,1,0
3,3,155,1,0
4,3,92,1,0
5,3,179,1,0
6,3,425,1,0
7,3,463,1,0
8,3,318,1,0
9,3,485,1,0
10,3,139,1,0
11,3,386,1,0
12,3,125,1,0
13,3,233,1,0
14,3,101,1,0
15,3,338,1,0
16,3,418,1,0
17,3,80,1,0
18,3,495,1,0
19,3,177,1,0
20,3,121,1,0
21,3,318,1,0
22,3,144,1,0
23,3,160,1,0
24,3,307,1,0
25,3,144,1,0
26,3,46,1,0
27,3,92,1,0
28,3,99,1,0
29,3,101,1,0
30,3,102,1,0
31,3,220,1,0
32,3,118,1,0
33,3,121,1,0
34,3,152,1,0
35,3,161,1,0
36,3,169,1,0
37,3,187,1,0
38,3,193,1,0
39,3,385,1,0
40,3,266,1,0
41,3,269,1,0
42,3,318,1,0
43,3,332,1,0
44,3,335,1,0
45,3,335,1,0
46,3,376,0,1
47,3,416,0,1
48,3,417,1,0
49,3,13295,1,0
0,4,279,1,0
1,4,285,1,0
2,4,485,0,1
3,4,391,1,0
4,4,222,1,0
5,4,279,1,0
6,4,283,1,0
7,4,288,1,0
8,4,290,1,0
9,4,367,0,1
10,4,367,1,0
11,4,377,1,0
12,4,405,1,0
13,4,404,1,0
14,4,470,1,0
15,4,470,1,0
16,4,470,1,0
17,4,498,1,0
18,4,222,1,0
19,4,481,1,0
20,4,481,1,0
0,5,475,1,0
1,5,494,1,0
2,5,443,1,0
3,5,69,1,0
4,5,503,1,0
5,5,150,0,1
6,5,451,1,0
7,5,267,1,0
8,5,490,1,0
9,5,405,1,0
10,5,442,1,0
11,5,454,1,0
12,5,472,1,0
13,5,473,1,0
14,5,479,1,0
15,5,481,0,1
16,5,492,1,0
17,5,498,1,0
18,5,498,1,0
19,5,436,1,0
20,5,486,1,0
0,6,191,1,0
1,6,185,1,0
2,6,379,1,0
3,6,387,1,0
4,6,362,1,0
5,6,359,1,0
6,6,294,1,0
7,6,301,1,0
8,6,418,1,0
9,6,335,1,0
10,6,385,1,0
11,6,374,1,0
12,6,479,1,0
13,6,308,1,0
14,6,286,1,0
15,6,375,1,0
16,6,457,1,0
17,6,437,1,0
18,6,370,1,0
19,6,288,1,0
20,6,202,1,0
21,6,497,1,0
22,6,309,1,0
23,6,475,1,0
24,6,468,1,0
25,6,441,1,0
26,6,348,1,0
27,6,176,1,0
28,6,197,1,0
29,6,369,1,0
30,6,323,1,0
31,6,327,1,0
32,6,328,1,0
33,6,340,1,0
34,6,356,1,0
35,6,356,1,0
36,6,358,1,0
37,6,363,1,0
38,6,368,1,0
39,6,369,1,0
40,6,383,1,0
41,6,387,1,0
42,6,387,1,0
43,6,391,1,0
44,6,392,1,0
45,6,393,1,0
46,6,401,1,0
47,6,408,1,0
48,6,408,1,0
49,6,408,1,0
0,7,116,1,0
1,7,364,1,0
2,7,426,1,0
3,7,193,1,0
4,7,364,1,0
5,7,407,1,0
6,7,396,1,0
7,7,381,1,0
8,7,152,1,0
9,7,476,1,0
10,7,358,1,0
11,7,447,1,0
12,7,123,1,0
13,7,450,1,0
14,7,379,1,0
15,7,112,1,0
