bike_station_index,distance,Available Bikes,Latitude,Longitude,restaurants,parks
0,648.62,12.0,49.291909,-123.14071299999999,48,2
1,312.0204081632653,2.0,49.262321,-123.09306000000001,45,4
2,274.9,2.0,49.275882,-123.071865,47,3
3,494.56,9.0,49.28803,-123.142135,48,2
4,372.0952380952381,2.0,49.273777,-123.092723,19,2
5,426.57142857142856,9.0,49.259469,-123.145718,19,2
6,357.96,16.0,49.266314,-123.116011,50,0
7,295.48,19.0,49.264928,-123.168068,49,1
8,319.1111111111111,16.0,49.243375,-123.104978,33,3
9,329.4,7.0,49.283968,-123.061615,47,3
10,351.48,6.0,49.259579,-123.114769,48,2
11,279.4,9.0,49.247854,-123.153422,3,2
12,289.8918918918919,4.0,49.257939,-123.089531,34,3
13,385.25,6.0,49.256857000000004,-123.065646,25,3
14,326.38,3.0,49.282758,-123.122092,50,0
15,268.74,1.0,49.289255,-123.132677,49,1
16,346.44,17.0,49.2685027,-123.0975014,50,0
17,259.8709677419355,2.0,49.26151,-123.089413,27,4
18,327.26,4.0,49.266724,-123.104824,48,2
19,380.26666666666665,1.0,49.256845,-123.120071,43,2
20,327.68,1.0,49.279259,-123.119145,49,1
21,313.54,10.0,49.277773,-123.11423699999999,50,0
22,290.72,16.0,49.28348200000001,-123.103738,50,0
23,286.9,7.0,49.25094,-123.10130599999998,46,4
24,514.38,5.0,49.276294,-123.106534,47,3
25,319.38,8.0,49.27309999999999,-123.0732,48,2
26,276.24,17.0,49.27023,-123.10651,46,4
27,347.8,9.0,49.264466,-123.085183,27,3
28,292.3095238095238,8.0,49.283986,-123.065264,41,1
29,357.54,5.0,49.254667,-123.101389,43,7
30,367.0833333333333,0.0,49.26135300000001,-123.085333,20,4
31,307.86,2.0,49.277844,-123.120942,49,1
32,234.8421052631579,5.0,49.262835,-123.15262600000001,15,4
33,292.48,6.0,49.288444,-123.139203,50,0
34,450.125,3.0,49.258352,-123.09633699999999,38,2
35,326.72222222222223,5.0,49.283992,-123.091206,36,0
36,624.4,7.0,49.28972000000001,-123.14402799999999,48,2
37,294.24,0.0,49.284554,-123.111031,50,0
38,291.3888888888889,5.0,49.259999,-123.250902,16,2
39,221.98,5.0,49.26610000000001,-123.24568,49,1
40,207.70967741935485,5.0,49.263523,-123.155267,27,4
41,337.6938775510204,8.0,49.261263,-123.073707,44,5
42,396.3,9.0,49.256825,-123.105234,47,3
43,396.85714285714283,6.0,49.258819,-123.131317,7,0
44,369.875,10.0,49.275938,-123.145939,18,6
45,326.04,9.0,49.266636,-123.18366099999999,49,1
46,257.14285714285717,8.0,49.299292,-123.130281,3,4
47,235.14,12.0,49.27456600000001,-123.121817,47,3
48,341.32,5.0,49.282503,-123.124697,49,1
49,284.48,9.0,49.282759,-123.106955,50,0
50,132.89285714285714,10.0,49.264019,-123.209176,28,0
51,310.16,2.0,49.268339,-123.157443,49,1
52,342.0,0.0,49.26206199999999,-123.10465600000002,49,1
53,330.86,9.0,49.262822,-123.14338,45,5
54,368.6875,11.0,49.268974,-123.190701,16,0
55,364.22,7.0,49.273663,-123.127075,46,4
56,347.1363636363636,4.0,49.26519799999999,-123.131043,38,6
57,338.26,6.0,49.28721399999999,-123.11287,50,0
58,277.4,6.0,49.286646,-123.12923200000002,48,2
59,360.13953488372096,8.0,49.255033999999995,-123.120226,38,5
60,324.88235294117646,6.0,49.258761,-123.127071,15,2
61,360.8,5.0,49.283343,-123.131099,47,3
62,409.5897435897436,2.0,49.285253,-123.134356,36,3
63,311.18,10.0,49.272172,-123.097978,46,4
64,50.0,14.0,49.302577,-123.155616,1,0
65,336.28,4.0,49.266751000000006,-123.073501,48,2
66,246.18,8.0,49.26421500000001,-123.117772,50,0
67,295.62,3.0,49.27808,-123.130557,48,2
68,287.44,1.0,49.261973,-123.09725,50,0
69,321.58,6.0,49.262255,-123.126217,47,3
70,381.1,3.0,49.277333,-123.08735900000002,17,3
71,396.5897435897436,5.0,49.273833,-123.11437299999999,37,2
72,275.4,1.0,49.28763,-123.127245,49,1
73,372.28,1.0,49.26560500000001,-123.152566,47,3
74,401.25,6.0,49.25849,-123.104799,37,3
75,215.66666666666666,3.0,49.249184,-123.116141,7,2
76,389.2448979591837,18.0,49.270783,-123.141564,45,4
77,295.5,6.0,49.257654,-123.153212,4,2
78,258.66,15.0,49.2665793,-123.24854869999999,50,0
79,300.8333333333333,4.0,49.246243,-123.124373,11,1
80,333.9,5.0,49.266774,-123.14113500000002,44,6
81,355.3181818181818,4.0,49.26307299999999,-123.25430699999998,21,1
82,286.15625,13.0,49.280427,-123.074082,31,1
83,315.7,13.0,49.28489299999999,-123.128685,48,2
84,375.16,10.0,49.273011,-123.159663,22,3
85,364.66,21.0,49.290112,-123.12706199999998,48,2
86,284.24,12.0,49.28512,-123.11242,50,0
87,364.42424242424244,5.0,49.261742,-123.13148,32,1
88,344.1388888888889,5.0,49.262206,-123.109091,35,1
89,402.6222222222222,2.0,49.259183,-123.120126,45,0
90,185.0,3.0,49.252656,-123.067965,10,2
91,269.2647058823529,16.0,49.273355,-123.154493,34,0
92,384.28,9.0,49.274232000000005,-123.129998,46,4
93,362.06,9.0,49.289124,-123.12196,49,1
94,313.28,8.0,49.260599,-123.113504,50,0
95,395.3636363636364,5.0,49.26883699999999,-123.177633,20,2
96,406.94736842105266,14.0,49.267725,-123.11310999999999,37,1
97,261.6585365853659,9.0,49.280881,-123.130672,38,3
98,339.1489361702128,6.0,49.258763,-123.11539199999999,45,2
99,305.74,1.0,49.282409,-123.118541,50,0
100,227.34,4.0,49.271377,-123.069416,49,1
101,332.52,9.0,49.263837,-123.105173,49,1
102,337.6,2.0,49.28062,-123.12482,48,2
103,314.08,3.0,49.283227,-123.120523,50,0
104,315.72,6.0,49.27976399999999,-123.11015400000001,50,0
105,307.78,1.0,49.281506,-123.12010100000002,50,0
106,247.04,6.0,49.266968999999996,-123.069936,48,2
107,244.38,7.0,49.263635,-123.099236,49,1
108,313.56,0.0,49.279739,-123.116251,50,0
109,293.64,6.0,49.2653,-123.13811,44,6
110,287.46,2.0,49.28026,-123.135244,48,2
111,481.9583333333333,7.0,49.2756,-123.102661,44,4
112,316.82,5.0,49.2885056,-123.13123749999998,49,1
