,fsq_id,distance,bike_station_index,restaurants,parks
0,4aa7455df964a5208e4c20e3,308,0,1,0
1,4cd8423915d8b60c611f650e,354,0,1,0
2,5851f5b5297c16529dd5cf93,299,0,1,0
3,4aa75933f964a520bf4c20e3,400,0,1,0
4,4abfcaf5f964a5203c9220e3,385,0,1,0
5,4ad008e2f964a5205fd720e3,413,0,1,0
6,4af3ce83f964a52061ef21e3,356,0,1,0
7,4aa97c35f964a520e35320e3,393,0,1,0
8,5b2bfe834f0e58002c8c4344,677,0,1,0
9,5c3945e7724750002d776a04,307,0,1,0
10,4aa97278f964a520b25320e3,298,0,1,0
11,4aa99cf4f964a520815420e3,346,0,1,0
12,52af9df1498e9ed2ad4ad500,325,0,1,0
13,4dbc32d44b222080d38aecaf,470,0,0,1
14,5cf2bd58ff0306002c9db0dc,371,0,1,0
15,4af4d559f964a520b1f621e3,370,0,1,0
16,58fe81bfc9f9076bbbf5bfa1,299,0,1,0
17,5bfee70360d11b002c6c95ed,350,0,1,0
18,4d7423fe1a8aa35def520ca7,429,0,1,0
19,4ac57d30f964a52036b220e3,490,0,1,0
20,5b4e9f756bd36b002cebafb8,389,0,1,0
21,4aa97604f964a520c65320e3,322,0,1,0
22,5ad144b282a7501ecaf85e10,357,0,1,0
23,4ab14a3af964a520e86820e3,403,0,1,0
24,4ac6a6dff964a520a5b520e3,452,0,1,0
25,5827774f5f78034bcf6f9817,458,0,1,0
26,4ab30454f964a5204f6d20e3,489,0,1,0
27,4da627771e722893cd1a9af8,325,0,1,0
28,5d16e8d394dd8b002311b316,160,0,1,0
29,4aa9681af964a520815320e3,483,0,1,0
30,4ad6701ef964a520300721e3,298,0,1,0
31,5b9f0fba9e0d540039810639,300,0,1,0
32,115eb044d3804408a28c86e9,309,0,1,0
33,893a9f430bb44f88486747a4,320,0,0,1
34,5dbb8529da55900007f932b2,320,0,1,0
35,5f7a1ff398df6d72aa1bcfce,330,0,1,0
36,4aa9bf84f964a520295520e3,357,0,1,0
37,6078eb566022422e223bac4c,357,0,1,0
38,5d8d70cb9103f600080aa56b,398,0,1,0
39,52dafd15498e2acc5df809ca,404,0,1,0
40,53757627498e3255458d094d,405,0,1,0
41,5dc4821125c7ea0008ef8cf9,415,0,1,0
42,4ab67f5ef964a520707720e3,418,0,1,0
43,4ff26e13e4b099c4110e9352,310,0,1,0
44,54d57947498e2290e6924560,432,0,1,0
45,7795f5f80efd44fcc02bc32f,441,0,1,0
46,5147b782e4b044419531d0a6,13725,0,1,0
47,64e2cf1ddd374b15ef23aa64,464,0,1,0
48,5af0f7a1e677420024f5079b,470,0,1,0
49,34deffaee40146f7660aade4,480,0,1,0
0,50f1dd8ee4b0ee8fd93bbfff,312,1,1,0
1,4aa7e590f964a520ec4d20e3,304,1,1,0
2,5a6e38a71108ba38374eec43,378,1,1,0
3,4efbdec10e014519c62d8889,244,1,1,0
4,53aa2de5498e191dfd681c59,56,1,1,0
5,518960a9498ea7adf1441495,271,1,1,0
6,5435001d498ef9b3e24d2e0a,341,1,1,0
7,4abedbd3f964a5204d9020e3,418,1,1,0
8,4b4e9e48f964a520bbf226e3,339,1,1,0
9,4bd636ff29eb9c7462d594e1,472,1,0,1
10,4f6552e1e4b0fb96f6a71d85,321,1,1,0
11,4bafc2b7f964a520851e3ce3,383,1,1,0
12,59eaa510ff0306350d76bf9e,419,1,1,0
13,4c2527ceb7b8a5935fbf3de8,204,1,1,0
14,5e14c082e8152700077f7d58,114,1,1,0
15,519d8e42498ef865ac01b218,136,1,1,0
16,4c58b4fa04f9be9a1ab1ed60,136,1,1,0
17,61eccf043030b3598c2b11ca,424,1,1,0
18,51c2802d498eb03e2465777f,133,1,1,0
19,51c90b38498e805f31879ba6,193,1,1,0
20,4eeb9c4b0039490c7d44ea90,233,1,1,0
21,55ff3061498e521acf37b77f,233,1,1,0
22,4d5362cb08a7b1f76a203292,248,1,1,0
23,5b63bc6135d3fc002ccf63e7,250,1,1,0
24,51ae7da7498eb27a487cd499,252,1,1,0
25,5d4103e23c3cf700076593dc,257,1,1,0
26,5ae52e0786bc49002cd8ee1e,258,1,1,0
27,51bbeadd498e9227ab3d7bdd,262,1,1,0
28,63c2e0fcbf60d9299462c3f0,286,1,1,0
29,53a0a8e9498ea14ee5f0e3f8,288,1,1,0
30,4c50c0fe375c0f47f646ce92,316,1,0,1
31,4d02bed32f96f04d109b1354,331,1,1,0
32,4daf78bb81548efb15ac828a,333,1,1,0
33,4d5ddf7d29ef236a9a108659,344,1,1,0
34,59631ea959c4234a4cf25f37,350,1,1,0
35,5d1c0f178132b9002350bb69,354,1,1,0
36,4bddd51c0ee3a5937bd42eb0,356,1,0,1
37,509e98b3e4b044f7645150ab,360,1,1,0
38,4bcb6f5db6c49c743b389291,368,1,1,0
39,62410464e300a86a77e402ed,397,1,1,0
40,5d4a29288265800007235ce6,482,1,1,0
41,542cc65b498ecd872791044d,489,1,1,0
42,4c0db123d64c0f47332e275d,491,1,1,0
43,5d1c117b7226a500236153be,506,1,1,0
44,be639f252b8b49485d427a41,169,1,1,0
45,79de8a71f87a42507a9b70d5,268,1,1,0
46,3a019af08a8143dadbf3af16,300,1,0,1
47,f965b8fc3bfb45d2ed9cc6a4,432,1,1,0
48,b7f806cea8bd4fd84771ec3b,478,1,1,0
0,54d173b2498e8535cfe052f3,164,2,1,0
1,5b242d9bc876c8002c2db876,160,2,1,0
2,4aa80271f964a520af4e20e3,268,2,1,0
3,4ab533e0f964a520397320e3,291,2,0,1
4,4aa936b0f964a5207f5220e3,392,2,1,0
5,5f00f72289dce8008504b1fa,214,2,1,0
6,4aa7350bf964a520464c20e3,299,2,1,0
7,4ce833c6fe90a35d053c410e,218,2,1,0
8,4cddb9c1c4f6a35d0b36c56c,158,2,1,0
9,5256c3bf498e4a720085f2cf,254,2,1,0
10,54e123ff498eccd401d43e25,384,2,1,0
11,502ef97ce4b047ef9a41d5aa,325,2,1,0
12,4b8f0753f964a5207a4533e3,492,2,1,0
13,59449f7a747ecd08014edd01,470,2,1,0
14,4c52f2a8d797e21e0b02587e,385,2,1,0
15,4f8e0f4ce4b018d8f5fde367,443,2,1,0
16,4aa82cd4f964a520d44f20e3,187,2,1,0
17,555df6c9498ec05757a9ef70,226,2,1,0
18,4aad5edcf964a520f15f20e3,454,2,1,0
19,4aecb34ff964a52060ca21e3,211,2,1,0
20,511ffd76e4b0781dd9ddbf08,416,2,1,0
21,5ceddc19b3d8e2002c05916a,475,2,1,0
22,4ad0dc41f964a52082da20e3,160,2,1,0
23,5c55eb00418686002c9cdc8e,425,2,1,0
24,4aa86b72f964a520375120e3,421,2,1,0
25,4f0f9ae2e4b0297e54688b59,153,2,1,0
26,4aab1084f964a520c75820e3,511,2,1,0
27,4c5060f77537e21ed605d689,79,2,1,0
28,4b71d2caf964a520905e2de3,189,2,1,0
29,4e0276e5227144bc81cbef15,149,2,1,0
30,4aa7f9fff964a520684e20e3,153,2,1,0
31,4c79ef7493ef236ad972b10f,159,2,1,0
32,4ec6fe8a0e6158bafdff6f14,164,2,1,0
33,4c9bb2ca9975a143a28f2bcf,164,2,1,0
34,4eb5aa7c991165b7628358e4,188,2,1,0
35,5fa469466e1d2e5056f399ee,195,2,1,0
36,5c40fec6c97f28002b4761da,199,2,1,0
37,52cdfe5e498ef0a932ab924b,220,2,1,0
38,5b7e21ba81a0ea002cf1e17d,226,2,1,0
39,505bd5ade4b0b4345eb63863,234,2,1,0
40,4c9027e7fbe58cfad4ea1fb9,236,2,1,0
41,58fd635835dfa707a416c32a,240,2,1,0
42,5a3c6926898bdc16c1092eb1,246,2,1,0
43,4bfc3b7bb5cd2d7f4c4431fb,250,2,1,0
44,4bca92c1511f9521802db0c7,255,2,1,0
45,504a76c3e4b00e670c2e896a,294,2,0,1
46,4e5dd49514954da39fe7d131,330,2,1,0
47,4cd061376449a093ad4ecacf,332,2,0,1
48,5e0832ef80c6a900070c1374,341,2,1,0
49,5ddc44f3ec276a00087c44f2,346,2,1,0
0,4d3a00006de7721eed15ea49,149,3,1,0
1,4aa75933f964a520bf4c20e3,147,3,1,0
2,4ad008e2f964a5205fd720e3,124,3,1,0
3,604859d906d2a567129f63d3,155,3,1,0
4,4b946504f964a520947734e3,92,3,1,0
5,4abfcaf5f964a5203c9220e3,179,3,1,0
6,4b5b84c0f964a5202f0429e3,425,3,1,0
7,4aa7455df964a5208e4c20e3,463,3,1,0
8,5851f5b5297c16529dd5cf93,318,3,1,0
9,4aa9ac4ff964a520cc5420e3,485,3,1,0
10,4fa9855fd5fbb674a8873b8a,139,3,1,0
11,4aa97328f964a520b45320e3,386,3,1,0
12,597418f115173e2ac2644b47,125,3,1,0
13,4b197914f964a520f8dd23e3,233,3,1,0
14,4afa7953f964a520ec1722e3,101,3,1,0
15,52af9df1498e9ed2ad4ad500,338,3,1,0
16,4aa97278f964a520b25320e3,418,3,1,0
17,4ac6a6dff964a520a5b520e3,80,3,1,0
18,5c3945e7724750002d776a04,495,3,1,0
19,5b4e9f756bd36b002cebafb8,177,3,1,0
20,503930c5e4b05a7a7146be85,121,3,1,0
21,58fe81bfc9f9076bbbf5bfa1,318,3,1,0
22,4be8674c947820a1a3dcb4db,144,3,1,0
23,4aada3cff964a5201d6120e3,160,3,1,0
24,4aa97604f964a520c65320e3,307,3,1,0
25,4b91e457f964a520fbdd33e3,144,3,1,0
26,520ece2611d2d4c4bfd3dd62,46,3,1,0
27,576df178498e72c8c69a8e64,92,3,1,0
28,64e2cf1ddd374b15ef23aa64,99,3,1,0
29,5af0f7a1e677420024f5079b,101,3,1,0
30,5e2e693517ff6400083267ca,102,3,1,0
31,4b5537e1f964a52003df27e3,220,3,1,0
32,5d8d70cb9103f600080aa56b,118,3,1,0
33,54d57947498e2290e6924560,121,3,1,0
34,89a5ce4546e3416642b6df4a,152,3,1,0
35,645806363e7f4514953ab736,161,3,1,0
36,52dafd15498e2acc5df809ca,169,3,1,0
37,5fdebd5fcf5851777258981b,187,3,1,0
38,5cf46168471d6e002ced8486,193,3,1,0
39,4bde12916198c9b6ede312ff,385,3,1,0
40,59a4c188ee628b75e42ad66a,266,3,1,0
41,4d700f427e16a35da00a9df9,269,3,1,0
42,58fc0c176cf01a4f543bf6aa,318,3,1,0
43,4ad6701ef964a520300721e3,332,3,1,0
44,5604b2ba498e2ffeca980ebc,335,3,1,0
45,5f7a1ff398df6d72aa1bcfce,335,3,1,0
46,6459987f5e34a149d51542bc,376,3,0,1
47,893a9f430bb44f88486747a4,416,3,0,1
48,11762eedbaa64cfb59f4c8ec,417,3,1,0
49,5147b782e4b044419531d0a6,13295,3,1,0
0,4f68d5dee4b0bb1b18b8af39,279,4,1,0
1,53373f41498e40dea3b0f1d7,285,4,1,0
2,4c366f9c52dfef3bdec2ee70,485,4,0,1
3,55f70486498e2feb3361838b,391,4,1,0
4,63583fb6aa8cbb4e1b9e9ca0,222,4,1,0
5,4008250713f74d3777415efb,279,4,1,0
6,5914da77a0215b48252c9810,283,4,1,0
7,a253a6b8c49576dd0bf7000a,288,4,1,0
8,4cf5782664e3721ec8c51bc8,290,4,1,0
9,4fa48deee4b0dd0f11fbedd5,367,4,0,1
10,51c9fe7f498e1e088e856f26,367,4,1,0
11,5bbd204b1c0b34002c24ce61,377,4,1,0
12,4adeb7a8f964a520ad7621e3,405,4,1,0
13,4b4a2eaaf964a520af7d26e3,404,4,1,0
14,58b9cc2098f8aa61d32a4b46,470,4,1,0
15,7b9ee2b4bd3e4441bbcfd196,470,4,1,0
16,57c5dd33498ec330b9a97bf2,470,4,1,0
17,27221977fc69462a4ec6cd1e,498,4,1,0
18,d3b3c340ea40490fee46c775,222,4,1,0
19,69c62eda8ac344ec99156c1c,481,4,1,0
20,86adb70f1ebb42248cfb6ec1,481,4,1,0
0,52a2824611d291de6b8ad536,475,5,1,0
1,4aa98d22f964a520375420e3,494,5,1,0
2,52d9d8de498eda93801da27b,443,5,1,0
3,07d8f66f21a24cfb37f2269d,69,5,1,0
4,54946888498ea3488d9e2636,503,5,1,0
5,4c7e9351e4b06dcb2e8444d7,150,5,0,1
6,4b9b0078f964a520c8ea35e3,451,5,1,0
7,4e7a6bd289988fdf771071a6,267,5,1,0
8,4ae7284ff964a520f4a821e3,490,5,1,0
9,51cce800498e94f69b46bc55,405,5,1,0
10,4ab7f4d8f964a520987b20e3,442,5,1,0
11,5b972c8c27cbd10025a0a531,454,5,1,0
12,3218b0211cb844806b04546e,472,5,1,0
13,4d12c84a0ad2f04d420baf54,473,5,1,0
14,6158d22adfe7f9220b163a51,479,5,1,0
